tid,hastighet
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,0
2.2,0
2.3,0
2.4,0
2.5,0
2.6,0
2.7,0
2.8,0.000934622
2.9,0.00135359
3,0.002180784
3.1,0.003376698
3.2,0.00408897
3.3,0.004758074
3.4,0.005387819
3.5,0.006355427
3.6,0.006905815
3.7,0.007780094
3.8,0.008264023
3.9,0.00905864
4,0.009813527
4.1,0.01053159
4.2,0.01121546
4.3,0.011867521
4.4,0.012489944
4.5,0.013084703
4.6,0.013938053
4.7,0.014476693
4.8,0.014992889
4.9,0.01575505
5,0.016486726
5.1,0.016933145
5.2,0.017614023
5.3,0.018269208
5.4,0.018900126
5.5,0.019508103
5.6,0.020094365
5.7,0.020660057
5.8,0.021206243
5.9,0.021733913
6,0.022462073
6.1,0.022951856
6.2,0.023636883
6.3,0.024092469
6.4,0.024738266
6.5,0.025364193
6.6,0.025971153
6.7,0.026559994
6.8,0.027131516
6.9,0.027686473
7,0.028225573
7.1,0.028749488
7.2,0.02925885
7.3,0.029933498
7.4,0.030413093
7.5,0.031054362
7.6,0.031506587
7.7,0.032116998
7.8,0.032711757
7.9,0.033291459
8,0.033856669
8.1,0.034407922
8.2,0.034945731
8.3,0.03547058
8.4,0.035982933
8.5,0.03648323
8.6,0.037124041
8.7,0.037599721
8.8,0.03821328
8.9,0.038666032
9,0.039254109
9.1,0.03982926
9.2,0.040391909
9.3,0.040942457
9.4,0.041481292
9.5,0.042008783
9.6,0.042525284
9.7,0.043031136
9.8,0.043526665
9.9,0.044144351
10,0.044618837
10.1,0.045083927
10.2,0.045668179
10.3,0.046241086
10.4,0.046802976
10.5,0.047229547
10.6,0.04777151
10.7,0.048303343
10.8,0.048825327
10.9,0.049457776
11,0.049959775
11.1,0.050452728
11.2,0.050936879
11.3,0.051528255
11.4,0.051994477
11.5,0.052566372
11.6,0.053015607
11.7,0.053568997
11.8,0.054113009
11.9,0.054647877
12,0.055173831
12.1,0.055691091
12.2,0.056199872
12.3,0.056700379
12.4,0.057298336
12.5,0.057782048
12.6,0.058361929
12.7,0.058829649
12.8,0.059392284
12.9,0.059844765
13,0.060390936
13.1,0.060928769
13.2,0.061458453
13.3,0.061980172
13.4,0.062494103
13.5,0.063000421
13.6,0.063499294
13.7,0.064086392
13.8,0.064570164
13.9,0.065046976
14,0.065610439
14.1,0.066165909
14.2,0.06662141
14.3,0.067162041
14.4,0.067695164
14.5,0.068220934
14.6,0.068739501
14.7,0.079932403
14.8,0.080453241
14.9,0.080879271
15,0.081561315
15.1,0.082061018
15.2,0.082554145
15.3,0.083040827
15.4,0.083521188
15.5,0.084164186
15.6,0.084631187
15.7,0.085175582
15.8,0.085713086
15.9,0.086243828
16,0.086767936
16.1,0.087204262
16.2,0.087715971
16.3,0.088221402
16.4,0.088720668
16.5,0.089293185
16.6,0.08977998
16.7,0.090339296
16.8,0.090891954
16.9,0.091360648
17,0.091900796
17.1,0.092434626
17.2,0.09296225
17.3,0.093483773
17.4,0.093924103
17.5,0.0943594
17.6,0.094938441
17.7,0.095584864
17.8,0.096003494
17.9,0.096563645
18,0.09704488
18.1,0.097593088
18.2,0.098135272
18.3,0.09867153
18.4,0.099130847
18.5,0.099655926
18.6,0.10017536
18.7,0.100479323
18.8,0.101197649
18.9,0.101769912
19,0.102198416
19.1,0.102690941
19.2,0.10242869
