tid,acceleration
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,0
2.2,0
2.3,0
2.4,0
2.5,0
2.6,0
2.7,0
2.8,0
2.9,0
3,0
3.1,0
3.2,0
3.3,0
3.4,0
3.5,0
3.6,0
3.7,9.56E-07
3.8,2.72E-06
3.9,6.02E-06
4,8.18E-06
4.1,1.01E-05
4.2,1.19E-05
4.3,1.34E-05
4.4,1.49E-05
4.5,1.62E-05
4.6,1.79E-05
4.7,1.90E-05
4.8,2.04E-05
4.9,2.13E-05
5,2.25E-05
5.1,2.36E-05
5.2,2.47E-05
5.3,2.52E-05
5.4,2.60E-05
5.5,2.73E-05
5.6,2.80E-05
5.7,2.86E-05
5.8,2.92E-05
5.9,3.01E-05
6,3.05E-05
6.1,3.09E-05
6.2,3.17E-05
6.3,3.23E-05
6.4,3.29E-05
6.5,3.31E-05
6.6,3.36E-05
6.7,3.41E-05
6.8,3.45E-05
6.9,3.52E-05
7,3.55E-05
7.1,3.61E-05
7.2,3.63E-05
7.3,3.66E-05
7.4,3.70E-05
7.5,3.75E-05
7.6,3.78E-05
7.7,3.82E-05
7.8,3.85E-05
7.9,3.88E-05
8,3.90E-05
8.1,3.95E-05
8.2,3.95E-05
8.3,3.99E-05
8.4,4.01E-05
8.5,4.04E-05
8.6,4.05E-05
8.7,4.08E-05
8.8,4.09E-05
8.9,4.11E-05
9,4.14E-05
9.1,4.16E-05
9.2,4.17E-05
9.3,4.19E-05
9.4,4.21E-05
9.5,4.20E-05
9.6,4.25E-05
9.7,4.26E-05
9.8,4.26E-05
9.9,4.29E-05
10,4.30E-05
10.1,4.31E-05
10.2,4.33E-05
10.3,4.34E-05
10.4,4.36E-05
10.5,4.37E-05
10.6,4.38E-05
10.7,4.39E-05
10.8,4.40E-05
10.9,4.43E-05
11,4.42E-05
11.1,4.44E-05
11.2,4.45E-05
11.3,4.47E-05
11.4,4.48E-05
11.5,4.48E-05
11.6,4.49E-05
11.7,4.49E-05
11.8,4.51E-05
11.9,4.51E-05
12,4.53E-05
12.1,4.53E-05
12.2,4.54E-05
12.3,4.55E-05
12.4,4.56E-05
12.5,4.56E-05
12.6,4.56E-05
12.7,4.58E-05
12.8,4.58E-05
12.9,4.60E-05
13,4.61E-05
13.1,4.61E-05
13.2,4.61E-05
13.3,4.62E-05
13.4,4.63E-05
13.5,4.65E-05
13.6,4.65E-05
13.7,4.67E-05
13.8,4.67E-05
13.9,4.68E-05
14,4.69E-05
14.1,4.69E-05
14.2,4.70E-05
14.3,4.70E-05
14.4,4.71E-05
14.5,4.72E-05
14.6,4.71E-05
14.7,4.72E-05
14.8,4.73E-05
14.9,4.74E-05
15,4.73E-05
15.1,4.74E-05
15.2,4.74E-05
15.3,4.75E-05
15.4,4.76E-05
15.5,4.77E-05
15.6,4.76E-05
15.7,4.77E-05
15.8,4.77E-05
15.9,4.78E-05
16,4.78E-05
16.1,4.78E-05
16.2,4.78E-05
16.3,4.79E-05
16.4,4.80E-05
16.5,4.80E-05
16.6,4.80E-05
16.7,4.80E-05
16.8,4.81E-05
16.9,4.81E-05
17,4.82E-05
17.1,4.81E-05
17.2,4.82E-05
17.3,4.82E-05
17.4,4.83E-05
17.5,4.83E-05
17.6,4.83E-05
17.7,4.83E-05
17.8,4.84E-05
17.9,4.84E-05
18,4.85E-05
18.1,4.84E-05
