tid,hastighet
0.1,0
0.2,1.308470291
0.3,7.850821745
0.4,11.12199747
0.5,12.82300885
0.6,13.95701643
0.7,15.32779483
0.8,16.35587863
0.9,16.86472819
1,17.27180784
1.1,17.48592116
1.2,17.77338812
1.3,18.11728095
1.4,18.22512191
1.5,18.31858407
1.6,18.56392225
1.7,18.70342827
1.8,18.82743363
1.9,18.93838579
2,19.10366625
2.1,19.12858949
2.2,19.27019883
2.3,19.28571429
2.4,19.35445638
2.5,19.31302149
2.6,19.37542546
2.7,19.43320691
2.8,19.58032328
2.9,19.62705436
3,19.71428571
3.1,19.75368052
3.2,19.74972345
3.3,19.78565682
3.4,19.81947646
3.5,19.85136355
3.6,19.84513274
3.7,19.87460279
3.8,19.90252179
3.9,19.89545852
4,19.88874842
4.1,19.91427955
4.2,19.96974896
4.3,19.93134978
4.4,19.95417193
4.5,19.94690265
4.6,19.96839444
4.7,19.98897168
4.8,19.98143173
4.9,20.02760649
5,19.99342604
5.1,20.01189856
5.2,20.0548235
5.3,20.09612862
5.4,20.11167299
5.5,20.10286174
5.6,20.09436518
5.7,20.13207798
5.8,20.10081085
5.9,20.137136
6,20.12863464
6.1,20.14186234
6.2,20.19687207
6.3,20.18782734
6.4,20.21995496
6.5,20.25109404
6.6,20.24163889
6.7,20.2715248
6.8,20.2620473
6.9,20.29077118
7,20.29998194
7.1,20.30893325
7.2,20.29946271
7.3,20.29025163
7.4,20.29897154
7.5,20.29001264
7.6,20.31572294
7.7,20.32377231
7.8,20.33161529
7.9,20.33925971
8,20.34671302
8.1,20.33782835
8.2,20.36107428
8.3,20.35223067
8.4,20.37475167
8.5,20.36595523
8.6,20.3877929
8.7,20.39408867
8.8,20.41511033
8.9,20.40625577
9,20.42667509
9.1,20.41788805
9.2,20.40929204
9.3,20.41495045
9.4,20.42048847
9.5,20.42590991
9.6,20.4175885
9.7,20.43641743
9.8,20.40145515
9.9,20.2614642
10,20.05884956
10.1,19.86024709
10.2,19.66553878
10.3,19.47461122
10.4,19.28735534
10.5,19.10366625
10.6,18.92344298
10.7,18.74658837
10.8,18.57300885
10.9,18.40261427
11,18.23531778
